0;104;104;100;100;87
1;106;106;100;100;87
2;96;95;86;86;87
3;97;98;99;100;87
4;97;98;99;100;87
5;83;84;85;86;87
6;83;84;85;86;87
7;93;92;86;86;87
8;96;95;86;86;87
9;96;95;86;86;87
10;96;95;86;86;87
11;89;89;85;86;87
12;88;84;85;86;87
13;102;102;99;100;87
14;102;102;99;100;87
15;89;89;85;86;87
16;94;95;86;86;87
17;83;84;85;86;87
18;97;98;99;100;87
19;101;98;99;100;87
20;91;92;86;86;87
21;91;92;86;86;87
22;94;95;86;86;87
23;90;89;85;86;87
24;83;84;85;86;87
25;91;92;86;86;87
26;88;84;85;86;87
27;90;89;85;86;87
28;101;98;99;100;87
29;101;98;99;100;87
30;88;84;85;86;87
31;103;102;99;100;87
32;105;104;100;100;87
33;93;92;86;86;87
34;90;89;85;86;87
35;103;102;99;100;87
36;94;95;86;86;87
37;83;84;85;86;87
38;88;84;85;86;87
39;91;92;86;86;87
40;90;89;85;86;87
41;97;98;99;100;87
42;88;84;85;86;87
43;93;92;86;86;87
44;101;98;99;100;87
45;90;89;85;86;87
46;93;92;86;86;87
47;89;89;85;86;87
48;96;95;86;86;87
49;105;104;100;100;87
50;106;106;100;100;87
51;108;109;110;110;87
52;104;104;100;100;87
53;103;102;99;100;87
54;97;98;99;100;87
55;94;95;86;86;87
56;93;92;86;86;87
57;102;102;99;100;87
58;101;98;99;100;87
59;107;106;100;100;87
60;89;89;85;86;87
61;103;102;99;100;87
62;105;104;100;100;87
63;105;104;100;100;87
64;94;95;86;86;87
65;106;106;100;100;87
66;103;102;99;100;87
67;89;89;85;86;87
68;107;106;100;100;87
69;102;102;99;100;87
70;102;102;99;100;87
71;107;106;100;100;87
72;106;106;100;100;87
73;107;106;100;100;87
74;104;104;100;100;87
75;91;92;86;86;87
76;105;104;100;100;87
77;104;104;100;100;87
78;107;106;100;100;87
79;104;104;100;100;87
80;106;106;100;100;87
81;112;112;112;112;87
82;111;109;110;110;87
